"","x"
"331","Plcb1"
"332","Plk1"
"333","Pml"
"334","Pms2"
"335","Sept5"
"336","Sept4"
"337","Pola1"
"338","Pole"
"339","Pou4f1"
"340","Med1"
"341","Ppp1ca"
"342","Ppp1cb"
"343","Ppp2ca"
"344","Ppp2r3d"
"345","Ppp3ca"
"346","Nup88"
"347","Prkdc"
"348","Lgmn"
"349","Psmc3ip"
"350","Psme1"
"351","Psme2"
"352","Psme3"
"353","Pstpip1"
"354","Ptch1"
"355","Pten"
"356","Ptp4a1"
"357","Ptpn11"
"358","Dusp1"
"359","Ptprc"
"360","Ptprk"
"361","Pura"
"362","Kif20a"
"363","Rad1"
"364","Rad17"
"365","Rad21"
"366","Rad23a"
"367","Rad50"
"368","Rad51"
"369","Rad51b"
"370","Rad51d"
"371","Rad9a"
"372","Ran"
"373","Ranbp1"
"374","Rara"
"375","Rb1"
"376","Rbbp4"
"377","Rbl1"
"378","Rbl2"
"379","Rdx"
"380","Upf1"
"381","Rgs2"
"382","Ralbp1"
"383","Rnf2"
"384","Rnf4"
"385","Rock2"
"386","Rpa2"
"387","Rpl26"
"388","Rps6"
"389","Rps6ka2"
"390","Rtkn"
"391","Uimc1"
"392","Ncor1"
"393","Khdrbs1"
"394","Ccl12"
"395","Sept8"
"396","Sfrp1"
"397","Sgk1"
"398","Sh2b1"
"399","Siah1a"
"400","Siah2"
"401","Stil"
"402","Sin3a"
"403","Sin3b"
"404","Sipa1"
"405","Six3"
"406","Vps4b"
"407","Skil"
"408","Slbp"
"409","Slc16a1"
"410","Slfn1"
"411","Smarcb1"
"412","Plk2"
"413","Son"
"414","Sox4"
"415","Spin1"
"416","Sptbn1"
"417","Src"
"418","Srpk2"
"419","Trim21"
"420","Stag1"
"421","Stag2"
"422","Stat3"
"423","Stat5a"
"424","Stat5b"
"425","Stk10"
"426","Stk11"
"427","Aurkc"
"428","Plk4"
"429","Aurkb"
"430","Aurka"
"431","Stra8"
"432","Stxbp4"
"433","Suv39h1"
"434","Sycp3"
"435","Tacc3"
"436","Taf6"
"437","Tbrg1"
"438","Tcf7l2"
"439","Tcf3"
"440","Dynlt1b"
"441","Terf1"
"442","Terf2"
"443","Tert"
"444","Tfdp1"
"445","Tgfa"
"446","Tgfb1"
"447","Timeless"
"448","Timp2"
"449","Nr2e1"
"450","Tnf"
"451","Tnfaip3"
"452","Tnks"
"453","Top2a"
"454","Top2b"
"455","Ppp1r13b"
"456","Nr2c2"
"457","Trp53"
"458","Trp73"
"459","Tsc2"
"460","Tsg101"
"461","Rsph1"
"462","Ttk"
"463","Tuba1a"
"464","Tuba1b"
"465","Tuba3a"
"466","Tuba4a"
"467","Tuba1c"
"468","Tubb2a"
"469","Tubb3"
"470","Tubb4a"
"471","Tubb5"
"472","Ubb"
"473","Ube2l3"
"474","Ube2i"
"475","Uba3"
"476","Ube2b"
"477","Unc119"
"478","Usp9x"
"479","Uxt"
"480","Ezr"
"481","Vrk1"
"482","Wee1"
"483","Wfs1"
"484","Wiz"
"485","Wnt10b"
"486","Wnt4"
"487","Dctn6"
"488","Xlr"
"489","Atrx"
"490","Xpc"
"491","Ywhah"
"492","Zbtb17"
"493","Zfp207"
"494","Ikzf1"
"495","Cdc6"
"496","Dmtf1"
"497","Ets1"
"498","Gadd45g"
"499","Jtb"
"500","Katna1"
"501","Mapk7"
"502","Nek3"
"503","Nek4"
"504","Pebp1"
"505","Pin1"
"506","Cib1"
"507","Psmd13"
"508","Ik"
"509","Sept3"
"510","Smc1a"
"511","Spry1"
"512","Spry2"
"513","Taf10"
"514","Tlk2"
"515","Tpra1"
"516","Ubd"
"517","Xrn1"
"518","Ing1"
"519","Cetn2"
"520","Map2k1"
"521","Map3k8"
"522","Mapk1"
"523","Mapk14"
"524","Mapk3"
"525","Mapk8"
"526","Nubp1"
"527","Cul3"
"528","Cops5"
"529","Casp8ap2"
"530","Cenph"
"531","Exo1"
"532","H2afy"
"533","Racgap1"
"534","Slc9a3r1"
"535","Zw10"
"536","Spo11"
"537","Brd7"
"538","Rps3"
"539","Asns"
"540","Xlr4b"
"541","Eif2ak4"
"542","Dbf4"
"543","Azi2"
"544","Chaf1a"
"545","Trp53bp1"
"546","Nbn"
"547","Tjp3"
"548","Skp2"
"549","Miip"
"550","Ing4"
"551","Usp39"
"552","Larp7"
"553","Trim36"
"554","Nsun2"
"555","Cep63"
"556","Reep3"
"557","Zfp385a"
"558","Iqgap1"
"559","Fbxw5"
"560","Fbxl12"
"561","Pttg1"
"562","Bin1"
"563","Lcmt1"
"564","E2f6"
"565","Ercc4"
"566","Lats2"
"567","Fbxw7"
"568","Mapk6"
"569","Magi2"
"570","Orc3"
"571","Spast"
"572","Tmod3"
"573","Stag3"
"574","Chek2"
"575","Grb14"
"576","Nasp"
"577","Rgs14"
"578","Ppp2r1a"
"579","Hnrnpu"
"580","Rif1"
"581","Tubgcp4"
"582","Knstrn"
"583","Cdk2ap2"
"584","Pibf1"
"585","Pbk"
"586","Ppp1r10"
"587","Camk1"
"588","Anapc4"
"589","Cdca8"
"590","Sept11"
"591","Ppp2r2d"
"592","Ctdsp2"
"593","Angel2"
"594","Cdc23"
"595","E2f7"
"596","Ncaph2"
"597","Zwint"
"598","Anapc16"
"599","Tspyl2"
"600","Slx4"
"601","Plrg1"
"602","Banp"
"603","Usp2"
"604","Sdcbp"
"605","Psmd10"
"606","Dctn3"
"607","Blcap"
"608","Insm1"
"609","Ddx39b"
"610","Tuba8"
"611","Sept9"
"612","Rab11a"
"613","Ppm1d"
"614","Cks1b"
"615","Irf6"
"616","Spag5"
"617","Akap8l"
"618","Sept1"
"619","Nme6"
"620","Ncapg"
"621","Crlf3"
"622","Foxo4"
"623","Paf1"
"624","Sh3glb1"
"625","Dclre1a"
"626","Sfn"
"627","Paxip1"
"628","Msh4"
"629","Rala"
"630","Mad2l1"
"631","Rbm38"
"632","Prpf40a"
"633","Ensa"
"634","Becn1"
"635","Zfp386"
"636","Actr8"
"637","Rbm14"
"638","Rassf1"
"639","Naa10"
"640","Anapc7"
"641","Aatf"
"642","Arl2"
"643","Mettl3"
"644","Txnip"
"645","Arl3"
"646","Fzr1"
"647","Akap8"
"648","Tubd1"
"649","Dstn"
"650","Snd1"
"651","Pias1"
"652","Ruvbl1"
"653","Pard6a"
"654","Sept6"
"655","Gsk3b"
"656","Gpr132"
"657","Ccnl1"
"658","Psrc1"
"659","Pdxp"
"660","Brd4"
"661","Xrcc2"
"662","Gmnn"
"663","Piwil2"
"664","Jmy"
"665","Tacc2"
"666","Ttyh1"
"667","Bin3"
"668","Zfp318"
"669","Pard6b"
"670","Rnf8"
"671","Eid1"
"672","Mlxipl"
"673","Smpd3"
"674","Maea"
"675","Anapc5"
"676","Rrs1"
"677","Arpp19"
"678","Nek6"
